state_ut,dominant_soil_type,characteristics,typical_pH_range,suitable_crops
Punjab,Alluvial,"Fertile, loamy, rich in potash, poor in N & organic matter",6.5-8.0,"Wheat, Rice, Sugarcane, Cotton"
Haryana,Alluvial,"Loamy, fertile Indo-Gangetic plain soil",6.5-8.0,"Wheat, Rice, Mustard, Sugarcane"
Uttar Pradesh,Alluvial,"Khadar (new, fertile) & Bhangar (old, kankar) alluvium",6.5-8.5,"Wheat, Rice, Sugarcane, Potato"
Bihar,Alluvial,"Indo-Gangetic plain, fertile floodplain soil",6.0-8.0,"Rice, Wheat, Maize, Litchi"
West Bengal,Alluvial / Laterite (west districts),Fertile deltaic alluvium; laterite in western plateau,5.5-7.5,"Rice, Jute, Potato, Tea (north)"
Assam,Alluvial,"Brahmaputra valley alluvium, high organic matter",5.0-6.5,"Rice, Tea, Jute"
Rajasthan,Arid/Desert; Alluvial (east),"Sandy, low organic matter, high phosphate in desert tracts",7.5-9.0,"Bajra, Moth Bean, Mustard, Wheat (irrigated)"
Gujarat,Black (Regur) / Alluvial (coastal) / Arid (Kutch),"Deep, moisture-retentive black soil in Saurashtra; alluvial in south",6.5-8.0,"Cotton, Groundnut, Castor, Wheat"
Maharashtra,Black (Regur),"Deccan Trap basalt-derived, self-ploughing, moisture retentive",6.5-8.0,"Cotton, Soybean, Jowar, Sugarcane"
Madhya Pradesh,Black (Regur) / Red-Yellow (east),Vertisol black soil in Malwa; red-yellow in Bundelkhand/east,6.5-8.0,"Soybean, Wheat, Cotton, Gram"
Karnataka,Red-Yellow / Black (north districts) / Laterite (coastal),"Iron-oxide red soil in south, black in north (Vertisol)",5.5-7.5,"Ragi, Cotton, Sugarcane, Coffee (west)"
Andhra Pradesh,Red-Yellow / Black (Krishna-Godavari delta) / Laterite (coastal),Mixed red and alluvial delta soils,5.5-7.5,"Rice, Chilli, Cotton, Groundnut"
Telangana,Red-Yellow / Black,Deccan plateau red soils with pockets of black cotton soil,6.0-7.5,"Cotton, Rice, Maize, Turmeric"
Tamil Nadu,Red-Yellow / Laterite (Western Ghats) / Alluvial (deltas),"Crystalline-rock derived red soil, fertile Cauvery delta alluvium",6.0-7.5,"Rice, Sugarcane, Cotton, Groundnut"
Kerala,Laterite,"Heavily leached, acidic, iron/aluminium rich",4.5-6.0,"Coconut, Rubber, Spices, Rice (lowlands)"
Odisha,Red-Yellow / Laterite (plateau) / Alluvial (delta),"Mixed red-lateritic uplands, fertile Mahanadi delta",5.0-7.0,"Rice, Groundnut, Jute"
Jharkhand,Red-Yellow / Laterite,"Low-fertility crystalline-rock soils, plateau region",5.0-6.5,"Rice, Maize, Pulses, Millets"
Chhattisgarh,Red-Yellow / Black (Kanker/Rajnandgaon),Mixed red soils with pockets of black soil,5.5-7.0,"Rice, Maize, Pulses, Oilseeds"
Himachal Pradesh,Mountain/Forest,"Thin, humus-rich forest soil, acidic under conifers",5.0-6.5,"Apple, Wheat, Maize, Potato"
Uttarakhand,Mountain/Forest / Alluvial (Terai),Forest hill soils; fertile Terai alluvium in plains,5.5-7.0,"Rice, Wheat, Apple, Basmati"
Jammu & Kashmir / Ladakh,Mountain/Forest,"Skeletal, thin, cold-arid in Ladakh",5.5-7.5,"Apple, Saffron, Rice (Kashmir valley)"
Sikkim,Mountain/Forest,"Steep-terrain forest soil, high organic matter",4.5-6.0,"Cardamom, Ginger, Orange"
Arunachal Pradesh,Mountain/Forest,"Young, acidic forest soil",4.5-6.0,"Rice, Maize, Orange, Kiwi"
Meghalaya,Mountain/Forest / Laterite,High-rainfall leached hill soil,4.5-6.0,"Rice, Pineapple, Ginger"
Manipur,Mountain/Forest / Alluvial (valley),Hill soils with fertile Imphal valley alluvium,5.0-6.5,"Rice, Sugarcane, Pulses"
Mizoram,Mountain/Forest,"Shifting-cultivation hill soils, acidic",4.5-6.0,"Rice, Ginger, Passion Fruit"
Nagaland,Mountain/Forest,Acidic hill soil under jhum cultivation,4.5-6.0,"Rice, Maize, Millets"
Tripura,Laterite / Alluvial (valleys),Acidic lateritic hills with alluvial valley strips,4.5-6.5,"Rice, Rubber, Pineapple"
Goa,Laterite,"Coastal lateritic soil, iron-rich",5.0-6.5,"Rice, Cashew, Coconut"
Delhi (NCT),Alluvial,"Indo-Gangetic plain soil, urbanised agricultural belt",7.0-8.0,"Vegetables, Wheat, Fodder"
Andaman & Nicobar Islands,Forest / Laterite,Coastal-tropical forest soil,5.0-6.5,"Coconut, Rice, Spices"
Lakshadweep,Sandy/Coral-derived,"Coral-atoll sandy soil, low fertility",6.5-7.5,Coconut
Chandigarh / Punjab-Haryana belt salt-affected pockets,Saline/Alkaline (Usar) — localized,High-salt reclamation-needed patches within alluvial tracts,8.5-10.0,"Gypsum-treated Rice, Wheat post-reclamation"
