name_en,category,season,duration_days,water_requirement,typical_states
Rice (Paddy),Cereal,Kharif,90-150,High,"West Bengal, UP, Punjab, AP, Telangana, TN, Odisha, Bihar, Chhattisgarh"
Wheat,Cereal,Rabi,110-150,Medium,"UP, Punjab, Haryana, MP, Bihar, Rajasthan"
Maize,Cereal,Kharif/Rabi,80-110,Medium,"Karnataka, MP, Bihar, UP, Rajasthan, Maharashtra"
Jowar (Sorghum),Cereal,Kharif/Rabi,100-120,Low,"Maharashtra, Karnataka, MP, Telangana"
Bajra (Pearl Millet),Cereal,Kharif,75-90,Low,"Rajasthan, Maharashtra, Gujarat, UP, Haryana"
Ragi (Finger Millet),Cereal,Kharif,100-120,Low,"Karnataka, Tamil Nadu, Odisha, Uttarakhand"
Barley,Cereal,Rabi,110-130,Low,"UP, Rajasthan, MP, Bihar"
Kodo Millet,Cereal (Minor Millet),Kharif,100-120,Low,"MP, Chhattisgarh, Odisha"
Kutki (Little Millet),Cereal (Minor Millet),Kharif,70-90,Low,"MP, Chhattisgarh, Jharkhand"
Foxtail Millet (Kangni),Cereal (Minor Millet),Kharif,75-90,Low,"Andhra Pradesh, Karnataka, Tamil Nadu"
Proso Millet (Cheena),Cereal (Minor Millet),Kharif,60-90,Low,"Maharashtra, Tamil Nadu"
Buckwheat,Cereal (Pseudo),Kharif,70-90,Low,"Uttarakhand, Himachal Pradesh, J&K"
Chickpea (Bengal Gram),Pulse,Rabi,90-120,Low,"MP, Rajasthan, Maharashtra, UP, Karnataka"
Pigeon Pea (Arhar/Tur),Pulse,Kharif,150-180,Low,"Maharashtra, Karnataka, MP, UP"
Green Gram (Moong),Pulse,Kharif/Zaid,60-90,Low,"Rajasthan, Maharashtra, Karnataka, AP"
Black Gram (Urad),Pulse,Kharif/Rabi,70-90,Low,"MP, Maharashtra, Tamil Nadu, AP"
Lentil (Masoor),Pulse,Rabi,100-120,Low,"UP, MP, West Bengal, Bihar"
Field Pea (Matar),Pulse,Rabi,90-110,Low,"UP, MP, Bihar, West Bengal"
Cowpea (Lobia),Pulse,Kharif,60-90,Low,"Rajasthan, MP, Karnataka"
Horse Gram (Kulthi),Pulse,Kharif,90-120,Low,"Karnataka, Tamil Nadu, Andhra Pradesh"
Moth Bean,Pulse,Kharif,60-75,Very Low,"Rajasthan, Gujarat, Haryana"
Rajma (Kidney Bean),Pulse,Kharif/Rabi,90-120,Medium,"J&K, Himachal Pradesh, Uttarakhand"
Groundnut,Oilseed,Kharif/Rabi,100-130,Medium,"Gujarat, Rajasthan, Tamil Nadu, AP, Karnataka"
Mustard/Rapeseed,Oilseed,Rabi,110-140,Low,"Rajasthan, Haryana, UP, MP, West Bengal"
Soybean,Oilseed,Kharif,90-110,Medium,"MP, Maharashtra, Rajasthan"
Sunflower,Oilseed,Kharif/Rabi,80-100,Medium,"Karnataka, Andhra Pradesh, Maharashtra"
Sesame (Til),Oilseed,Kharif,80-100,Low,"West Bengal, Rajasthan, Gujarat"
Safflower,Oilseed,Rabi,120-140,Low,"Maharashtra, Karnataka, Telangana"
Castor,Oilseed,Kharif,150-180,Low,"Gujarat, Rajasthan, Andhra Pradesh"
Linseed,Oilseed,Rabi,110-130,Low,"MP, Chhattisgarh, Bihar"
Niger Seed,Oilseed,Kharif,90-110,Low,"MP, Odisha, Chhattisgarh"
Cotton,Fibre,Kharif,150-180,Medium,"Gujarat, Maharashtra, Telangana, AP, Karnataka"
Jute,Fibre,Kharif,100-120,High,"West Bengal, Bihar, Assam"
Mesta,Fibre,Kharif,110-130,Medium,"West Bengal, Odisha, Andhra Pradesh"
Sunn Hemp,Fibre,Kharif,90-100,Low,"UP, Bihar, MP"
Sugarcane,Sugar Crop,Perennial (10-18 mo),300-540,High,"UP, Maharashtra, Karnataka, Tamil Nadu"
Sugar Beet,Sugar Crop,Rabi,150-180,Medium,"Punjab, Haryana"
Tea,Plantation,Perennial,N/A,High,"Assam, West Bengal, Tamil Nadu, Kerala"
Coffee,Plantation,Perennial,N/A,High,"Karnataka, Kerala, Tamil Nadu"
Coconut,Plantation,Perennial,N/A,Medium-High,"Kerala, Tamil Nadu, Karnataka, AP"
Arecanut,Plantation,Perennial,N/A,High,"Karnataka, Kerala, Assam"
Rubber,Plantation,Perennial,N/A,High,"Kerala, Tamil Nadu, Tripura"
Cashew,Plantation,Perennial,N/A,Medium,"Kerala, Karnataka, Maharashtra, Odisha, Goa"
Cocoa,Plantation,Perennial,N/A,High,"Kerala, Karnataka, Andhra Pradesh"
Tobacco,Plantation/Cash,Rabi/Kharif,100-150,Medium,"Andhra Pradesh, Gujarat, Karnataka"
Oil Palm,Plantation,Perennial,N/A,High,"Andhra Pradesh, Telangana, Karnataka, Kerala"
Mango,Fruit,Perennial,N/A,Medium,"UP, Andhra Pradesh, Karnataka, Bihar, Gujarat"
Banana,Fruit,Perennial,300-365,High,"Maharashtra, Gujarat, Tamil Nadu, AP"
Citrus (Orange/Mosambi/Lime),Fruit,Perennial,N/A,Medium,"Maharashtra, MP, Punjab, AP"
Guava,Fruit,Perennial,N/A,Medium,"UP, Bihar, MP"
Papaya,Fruit,Perennial,270-300,Medium,"Andhra Pradesh, Gujarat, Karnataka"
Grapes,Fruit,Perennial,N/A,Medium,"Maharashtra, Karnataka"
Apple,Fruit,Perennial,N/A,Medium,"Jammu & Kashmir, Himachal Pradesh, Uttarakhand"
Pomegranate,Fruit,Perennial,N/A,Low-Medium,"Maharashtra, Karnataka, Gujarat"
Pineapple,Fruit,Perennial,N/A,High,"West Bengal, Assam, Kerala, Tripura"
Litchi,Fruit,Perennial,N/A,Medium,"Bihar, West Bengal, Jharkhand"
Sapota (Chikoo),Fruit,Perennial,N/A,Medium,"Maharashtra, Gujarat, Karnataka"
Custard Apple,Fruit,Perennial,N/A,Low,"Maharashtra, Andhra Pradesh"
Jackfruit,Fruit,Perennial,N/A,Medium,"Kerala, Karnataka, Assam"
Fig,Fruit,Perennial,N/A,Low-Medium,"Maharashtra, Karnataka"
Ber,Fruit,Perennial,N/A,Low,"Rajasthan, Gujarat, Haryana"
Watermelon,Fruit,Zaid,70-90,Medium,"UP, Karnataka, Andhra Pradesh"
Muskmelon,Fruit,Zaid,70-90,Medium,"UP, Punjab, Haryana"
Strawberry,Fruit,Rabi,90-120,Medium,"Maharashtra, Himachal Pradesh"
Pear,Fruit,Perennial,N/A,Medium,"Punjab, Himachal Pradesh, Uttarakhand"
Peach,Fruit,Perennial,N/A,Medium,"Himachal Pradesh, J&K, Uttarakhand"
Plum,Fruit,Perennial,N/A,Medium,"Himachal Pradesh, J&K"
Apricot,Fruit,Perennial,N/A,Low-Medium,"Himachal Pradesh, Ladakh"
Walnut,Fruit,Perennial,N/A,Medium,"J&K, Himachal Pradesh, Uttarakhand"
Kiwi,Fruit,Perennial,N/A,Medium,"Himachal Pradesh, Arunachal Pradesh, Sikkim"
Potato,Vegetable,Rabi,90-120,Medium,"UP, West Bengal, Bihar, Punjab, Gujarat"
Onion,Vegetable,Rabi/Kharif,100-150,Medium,"Maharashtra, Karnataka, MP, Gujarat"
Tomato,Vegetable,Kharif/Rabi,70-90,Medium,"Andhra Pradesh, Karnataka, Madhya Pradesh"
Brinjal (Eggplant),Vegetable,Kharif/Rabi,80-100,Medium,"West Bengal, Odisha, Bihar"
Okra (Bhindi),Vegetable,Kharif/Zaid,50-65,Medium,"Gujarat, West Bengal, Odisha"
Cabbage,Vegetable,Rabi,80-100,Medium,"West Bengal, Odisha, Bihar"
Cauliflower,Vegetable,Rabi,80-100,Medium,"West Bengal, Bihar, Odisha"
Carrot,Vegetable,Rabi,90-100,Medium,"Haryana, Punjab, Karnataka"
Radish,Vegetable,Rabi,40-60,Medium,"West Bengal, UP, Bihar"
Beetroot,Vegetable,Rabi,60-70,Medium,"UP, Punjab, Karnataka"
Peas,Vegetable,Rabi,70-90,Medium,"UP, Punjab, MP"
French Beans,Vegetable,Rabi/Kharif,60-70,Medium,"Karnataka, Himachal Pradesh"
Cluster Beans,Vegetable,Kharif,60-90,Low,"Rajasthan, Gujarat, Haryana"
Bottle Gourd,Vegetable,Kharif/Zaid,55-65,Medium,"UP, Bihar, West Bengal"
Bitter Gourd,Vegetable,Kharif/Zaid,55-65,Medium,"West Bengal, Odisha, UP"
Ridge Gourd,Vegetable,Kharif/Zaid,55-65,Medium,"West Bengal, Odisha, Karnataka"
Pumpkin,Vegetable,Kharif/Zaid,90-120,Medium,"West Bengal, Odisha, UP"
Cucumber,Vegetable,Zaid,50-65,Medium,"West Bengal, UP, Odisha"
Spinach,Vegetable,Rabi,30-45,Medium,"UP, West Bengal, Bihar"
Fenugreek Leaves (Methi),Vegetable,Rabi,25-35,Low-Medium,"Rajasthan, MP, Gujarat"
Amaranthus,Vegetable,Kharif/Zaid,25-35,Medium,"Karnataka, Tamil Nadu, Andhra Pradesh"
